1
3,5,9,17,33,65,129,257,513,1025,2049,4097,8193,16385,32769,65537,131073,262145,2
7,13,25,49,97,193,385,769,1537,3073,6145,12289,24577,49153,98305,196609,393217,262146,4
11,21,41,81,161,321,641,1281,2561,5121,10241,20481,40961,81921,163841,327681,131074,262147,6
15,29,57,113,225,449,897,1793,3585,7169,14337,28673,57345,114689,229377,458753,393218,262148,8
19,37,73,145,289,577,1153,2305,4609,9217,18433,36865,73729,147457,294913,65538,131075,262149,10
23,45,89,177,353,705,1409,2817,5633,11265,22529,45057,90113,180225,360449,196610,393219,262150,12
27,53,105,209,417,833,1665,3329,6657,13313,26625,53249,106497,212993,425985,327682,131076,262151,14
31,61,121,241,481,961,1921,3841,7681,15361,30721,61441,122881,245761,491521,458754,393220,262152,16
35,69,137,273,545,1089,2177,4353,8705,17409,34817,69633,139265,278529,32770,65539,131077,262153,18
39,77,153,305,609,1217,2433,4865,9729,19457,38913,77825,155649,311297,98306,196611,393221,262154,20
43,85,169,337,673,1345,2689,5377,10753,21505,43009,86017,172033,344065,163842,327683,131078,262155,22
47,93,185,369,737,1473,2945,5889,11777,23553,47105,94209,188417,376833,229378,458755,393222,262156,24
51,101,201,401,801,1601,3201,6401,12801,25601,51201,102401,204801,409601,294914,65540,131079,262157,26
55,109,217,433,865,1729,3457,6913,13825,27649,55297,110593,221185,442369,360450,196612,393223,262158,28
59,117,233,465,929,1857,3713,7425,14849,29697,59393,118785,237569,475137,425986,327684,131080,262159,30
63,125,249,497,993,1985,3969,7937,15873,31745,63489,126977,253953,507905,491522,458756,393224,262160,32
67,133,265,529,1057,2113,4225,8449,16897,33793,67585,135169,270337,16386,32771,65541,131081,262161,34
71,141,281,561,1121,2241,4481,8961,17921,35841,71681,143361,286721,49154,98307,196613,393225,262162,36
75,149,297,593,1185,2369,4737,9473,18945,37889,75777,151553,303105,81922,163843,327685,131082,262163,38
79,157,313,625,1249,2497,4993,9985,19969,39937,79873,159745,319489,114690,229379,458757,393226,262164,40
83,165,329,657,1313,2625,5249,10497,20993,41985,83969,167937,335873,147458,294915,65542,131083,262165,42
87,173,345,689,1377,2753,5505,11009,22017,44033,88065,176129,352257,180226,360451,196614,393227,262166,44
91,181,361,721,1441,2881,5761,11521,23041,46081,92161,184321,368641,212994,425987,327686,131084,262167,46
95,189,377,753,1505,3009,6017,12033,24065,48129,96257,192513,385025,245762,491523,458758,393228,262168,48
99,197,393,785,1569,3137,6273,12545,25089,50177,100353,200705,401409,278530,32772,65543,131085,262169,50
103,205,409,817,1633,3265,6529,13057,26113,52225,104449,208897,417793,311298,98308,196615,393229,262170,52
107,213,425,849,1697,3393,6785,13569,27137,54273,108545,217089,434177,344066,163844,327687,131086,262171,54
111,221,441,881,1761,3521,7041,14081,28161,56321,112641,225281,450561,376834,229380,458759,393230,262172,56
115,229,457,913,1825,3649,7297,14593,29185,58369,116737,233473,466945,409602,294916,65544,131087,262173,58
119,237,473,945,1889,3777,7553,15105,30209,60417,120833,241665,483329,442370,360452,196616,393231,262174,60
123,245,489,977,1953,3905,7809,15617,31233,62465,124929,249857,499713,475138,425988,327688,131088,262175,62
127,253,505,1009,2017,4033,8065,16129,32257,64513,129025,258049,516097,507906,491524,458760,393232,262176,64
131,261,521,1041,2081,4161,8321,16641,33281,66561,133121,266241,8194,16387,32773,65545,131089,262177,66
135,269,537,1073,2145,4289,8577,17153,34305,68609,137217,274433,24578,49155,98309,196617,393233,262178,68
139,277,553,1105,2209,4417,8833,17665,35329,70657,141313,282625,40962,81923,163845,327689,131090,262179,70
143,285,569,1137,2273,4545,9089,18177,36353,72705,145409,290817,57346,114691,229381,458761,393234,262180,72
147,293,585,1169,2337,4673,9345,18689,37377,74753,149505,299009,73730,147459,294917,65546,131091,262181,74
151,301,601,1201,2401,4801,9601,19201,38401,76801,153601,307201,90114,180227,360453,196618,393235,262182,76
155,309,617,1233,2465,4929,9857,19713,39425,78849,157697,315393,106498,212995,425989,327690,131092,262183,78
159,317,633,1265,2529,5057,10113,20225,40449,80897,161793,323585,122882,245763,491525,458762,393236,262184,80
163,325,649,1297,2593,5185,10369,20737,41473,82945,165889,331777,139266,278531,32774,65547,131093,262185,82
167,333,665,1329,2657,5313,10625,21249,42497,84993,169985,339969,155650,311299,98310,196619,393237,262186,84
171,341,681,1361,2721,5441,10881,21761,43521,87041,174081,348161,172034,344067,163846,327691,131094,262187,86
175,349,697,1393,2785,5569,11137,22273,44545,89089,178177,356353,188418,376835,229382,458763,393238,262188,88
