1
3,5,9,17,33,65,129,257,513,1025,2049,4097,2
7,13,25,49,97,193,385,769,1537,3073,6145,4098,4
11,21,41,81,161,321,641,1281,2561,5121,2050,4099,6
15,29,57,113,225,449,897,1793,3585,7169,6146,4100,8
19,37,73,145,289,577,1153,2305,4609,1026,2051,4101,10
23,45,89,177,353,705,1409,2817,5633,3074,6147,4102,12
27,53,105,209,417,833,1665,3329,6657,5122,2052,4103,14
31,61,121,241,481,961,1921,3841,7681,7170,6148,4104,16
35,69,137,273,545,1089,2177,4353,514,1027,2053,4105,18
39,77,153,305,609,1217,2433,4865,1538,3075,6149,4106,20
43,85,169,337,673,1345,2689,5377,2562,5123,2054,4107,22
47,93,185,369,737,1473,2945,5889,3586,7171,6150,4108,24
51,101,201,401,801,1601,3201,6401,4610,1028,2055,4109,26
55,109,217,433,865,1729,3457,6913,5634,3076,6151,4110,28
59,117,233,465,929,1857,3713,7425,6658,5124,2056,4111,30
63,125,249,497,993,1985,3969,7937,7682,7172,6152,4112,32
67,133,265,529,1057,2113,4225,258,515,1029,2057,4113,34
71,141,281,561,1121,2241,4481,770,1539,3077,6153,4114,36
75,149,297,593,1185,2369,4737,1282,2563,5125,2058,4115,38
79,157,313,625,1249,2497,4993,1794,3587,7173,6154,4116,40
83,165,329,657,1313,2625,5249,2306,4611,1030,2059,4117,42
87,173,345,689,1377,2753,5505,2818,5635,3078,6155,4118,44
91,181,361,721,1441,2881,5761,3330,6659,5126,2060,4119,46
95,189,377,753,1505,3009,6017,3842,7683,7174,6156,4120,48
99,197,393,785,1569,3137,6273,4354,516,1031,2061,4121,50
103,205,409,817,1633,3265,6529,4866,1540,3079,6157,4122,52
107,213,425,849,1697,3393,6785,5378,2564,5127,2062,4123,54
111,221,441,881,1761,3521,7041,5890,3588,7175,6158,4124,56
115,229,457,913,1825,3649,7297,6402,4612,1032,2063,4125,58
119,237,473,945,1889,3777,7553,6914,5636,3080,6159,4126,60
123,245,489,977,1953,3905,7809,7426,6660,5128,2064,4127,62
127,253,505,1009,2017,4033,8065,7938,7684,7176,6160,4128,64
131,261,521,1041,2081,4161,130,259,517,1033,2065,4129,66
135,269,537,1073,2145,4289,386,771,1541,3081,6161,4130,68
139,277,553,1105,2209,4417,642,1283,2565,5129,2066,4131,70
143,285,569,1137,2273,4545,898,1795,3589,7177,6162,4132,72
147,293,585,1169,2337,4673,1154,2307,4613,1034,2067,4133,74
151,301,601,1201,2401,4801,1410,2819,5637,3082,6163,4134,76
155,309,617,1233,2465,4929,1666,3331,6661,5130,2068,4135,78
159,317,633,1265,2529,5057,1922,3843,7685,7178,6164,4136,80
163,325,649,1297,2593,5185,2178,4355,518,1035,2069,4137,82
