1
3,5,9,17,33,65,129,257,513,1025,2049,2
7,13,25,49,97,193,385,769,1537,3073,2050,4
11,21,41,81,161,321,641,1281,2561,1026,2051,6
15,29,57,113,225,449,897,1793,3585,3074,2052,8
19,37,73,145,289,577,1153,2305,514,1027,2053,10
23,45,89,177,353,705,1409,2817,1538,3075,2054,12
27,53,105,209,417,833,1665,3329,2562,1028,2055,14
31,61,121,241,481,961,1921,3841,3586,3076,2056,16
35,69,137,273,545,1089,2177,258,515,1029,2057,18
39,77,153,305,609,1217,2433,770,1539,3077,2058,20
43,85,169,337,673,1345,2689,1282,2563,1030,2059,22
47,93,185,369,737,1473,2945,1794,3587,3078,2060,24
51,101,201,401,801,1601,3201,2306,516,1031,2061,26
55,109,217,433,865,1729,3457,2818,1540,3079,2062,28
59,117,233,465,929,1857,3713,3330,2564,1032,2063,30
63,125,249,497,993,1985,3969,3842,3588,3080,2064,32
67,133,265,529,1057,2113,130,259,517,1033,2065,34
71,141,281,561,1121,2241,386,771,1541,3081,2066,36
75,149,297,593,1185,2369,642,1283,2565,1034,2067,38
79,157,313,625,1249,2497,898,1795,3589,3082,2068,40
83,165,329,657,1313,2625,1154,2307,518,1035,2069,42
87,173,345,689,1377,2753,1410,2819,1542,3083,2070,44
91,181,361,721,1441,2881,1666,3331,2566,1036,2071,46
95,189,377,753,1505,3009,1922,3843,3590,3084,2072,48
99,197,393,785,1569,3137,2178,260,519,1037,2073,50
103,205,409,817,1633,3265,2434,772,1543,3085,2074,52
107,213,425,849,1697,3393,2690,1284,2567,1038,2075,54
111,221,441,881,1761,3521,2946,1796,3591,3086,2076,56
115,229,457,913,1825,3649,3202,2308,520,1039,2077,58
119,237,473,945,1889,3777,3458,2820,1544,3087,2078,60
123,245,489,977,1953,3905,3714,3332,2568,1040,2079,62
127,253,505,1009,2017,4033,3970,3844,3592,3088,2080,64
131,261,521,1041,2081,66
135,269,537,1073,2145,194,387,773,1545,3089,2082,68
139,277,553,1105,2209,322,643,1285,2569,1042,2083,70
143,285,569,1137,2273,450,899,1797,3593,3090,2084,72
147,293,585,1169,2337,578,1155,2309,522,1043,2085,74
151,301,601,1201,2401,706,1411,2821,1546,3091,2086,76
155,309,617,1233,2465,834,1667,3333,2570,1044,2087,78
159,317,633,1265,2529,962,1923,3845,3594,3092,2088,80
163,325,649,1297,2593,1090,2179,262,523,1045,2089,82
167,333,665,1329,2657,1218,2435,774,1547,3093,2090,84
171,341,681,1361,2721,1346,2691,1286,2571,1046,2091,86
175,349,697,1393,2785,1474,2947,1798,3595,3094,2092,88
179,357,713,1425,2849,1602,3203,2310,524,1047,2093,90
183,365,729,1457,2913,1730,3459,2822,1548,3095,2094,92
187,373,745,1489,2977,1858,3715,3334,2572,1048,2095,94
191,381,761,1521,3041,1986,3971,3846,3596,3096,2096,96
195,389,777,1553,3105,2114,132,263,525,1049,2097,98
199,397,793,1585,3169,2242,388,775,1549,3097,2098,100
203,405,809,1617,3233,2370,644,1287,2573,1050,2099,102
207,413,825,1649,3297,2498,900,1799,3597,3098,2100,104
211,421,841,1681,3361,2626,1156,2311,526,1051,2101,106
215,429,857,1713,3425,2754,1412,2823,1550,3099,2102,108
219,437,873,1745,3489,2882,1668,3335,2574,1052,2103,110
223,445,889,1777,3553,3010,1924,3847,3598,3100,2104,112
227,453,905,1809,3617,3138,2180,264,527,1053,2105,114
231,461,921,1841,3681,3266,2436,776,1551,3101,2106,116
235,469,937,1873,3745,3394,2692,1288,2575,1054,2107,118
239,477,953,1905,3809,3522,2948,1800,3599,3102,2108,120
243,485,969,1937,3873,3650,3204,2312,528,1055,2109,122
247,493,985,1969,3937,3778,3460,2824,1552,3103,2110,124
251,501,1001,2001,4001,3906,3716,3336,2576,1056,2111,126
255,509,1017,2033,4065,4034,3972,3848,3600,3104,2112,128
267,533,1065,2129,162,323,645,1289,2577,1058,2115,134
271,541,1081,2161,226,451,901,1801,3601,3106,2116,136
275,549,1097,2193,290,579,1157,2313,530,1059,2117,138
279,557,1113,2225,354,707,1413,2825,1554,3107,2118,140
283,565,1129,2257,418,835,1669,3337,2578,1060,2119,142
287,573,1145,2289,482,963,1925,3849,3602,3108,2120,144
291,581,1161,2321,546,1091,2181,266,531,1061,2121,146
295,589,1177,2353,610,1219,2437,778,1555,3109,2122,148
299,597,1193,2385,674,1347,2693,1290,2579,1062,2123,150
303,605,1209,2417,738,1475,2949,1802,3603,3110,2124,152
307,613,1225,2449,802,1603,3205,2314,532,1063,2125,154
311,621,1241,2481,866,1731,3461,2826,1556,3111,2126,156
315,629,1257,2513,930,1859,3717,3338,2580,1064,2127,158
319,637,1273,2545,994,1987,3973,3850,3604,3112,2128,160
327,653,1305,2609,1122,2243,390,779,1557,3113,2130,164
331,661,1321,2641,1186,2371,646,1291,2581,1066,2131,166
335,669,1337,2673,1250,2499,902,1803,3605,3114,2132,168
339,677,1353,2705,1314,2627,1158,2315,534,1067,2133,170
343,685,1369,2737,1378,2755,1414,2827,1558,3115,2134,172
347,693,1385,2769,1442,2883,1670,3339,2582,1068,2135,174
351,701,1401,2801,1506,3011,1926,3851,3606,3116,2136,176
355,709,1417,2833,1570,3139,2182,268,535,1069,2137,178
359,717,1433,2865,1634,3267,2438,780,1559,3117,2138,180
363,725,1449,2897,1698,3395,2694,1292,2583,1070,2139,182
367,733,1465,2929,1762,3523,2950,1804,3607,3118,2140,184
371,741,1481,2961,1826,3651,3206,2316,536,1071,2141,186
375,749,1497,2993,1890,3779,3462,2828,1560,3119,2142,188
379,757,1513,3025,1954,3907,3718,3340,2584,1072,2143,190
383,765,1529,3057,2018,4035,3974,3852,3608,3120,2144,192
391,781,1561,3121,2146,196
395,789,1577,3153,2210,324,647,1293,2585,1074,2147,198
399,797,1593,3185,2274,452,903,1805,3609,3122,2148,200
403,805,1609,3217,2338,580,1159,2317,538,1075,2149,202
407,813,1625,3249,2402,708,1415,2829,1562,3123,2150,204
411,821,1641,3281,2466,836,1671,3341,2586,1076,2151,206
415,829,1657,3313,2530,964,1927,3853,3610,3124,2152,208
419,837,1673,3345,2594,1092,2183,270,539,1077,2153,210
423,845,1689,3377,2658,1220,2439,782,1563,3125,2154,212
427,853,1705,3409,2722,1348,2695,1294,2587,1078,2155,214
431,861,1721,3441,2786,1476,2951,1806,3611,3126,2156,216
435,869,1737,3473,2850,1604,3207,2318,540,1079,2157,218
439,877,1753,3505,2914,1732,3463,2830,1564,3127,2158,220
443,885,1769,3537,2978,1860,3719,3342,2588,1080,2159,222
447,893,1785,3569,3042,1988,3975,3854,3612,3128,2160,224
455,909,1817,3633,3170,2244,392,783,1565,3129,2162,228
459,917,1833,3665,3234,2372,648,1295,2589,1082,2163,230
463,925,1849,3697,3298,2500,904,1807,3613,3130,2164,232
467,933,1865,3729,3362,2628,1160,2319,542,1083,2165,234
471,941,1881,3761,3426,2756,1416,2831,1566,3131,2166,236
475,949,1897,3793,3490,2884,1672,3343,2590,1084,2167,238
479,957,1913,3825,3554,3012,1928,3855,3614,3132,2168,240
483,965,1929,3857,3618,3140,2184,272,543,1085,2169,242
487,973,1945,3889,3682,3268,2440,784,1567,3133,2170,244
491,981,1961,3921,3746,3396,2696,1296,2591,1086,2171,246
495,989,1977,3953,3810,3524,2952,1808,3615,3134,2172,248
499,997,1993,3985,3874,3652,3208,2320,544,1087,2173,250
503,1005,2009,4017,3938,3780,3464,2832,1568,3135,2174,252
507,1013,2025,4049,4002,3908,3720,3344,2592,1088,2175,254
511,1021,2041,4081,4066,4036,3976,3856,3616,3136,2176,256
547,1093,2185,274
551,1101,2201,306,611,1221,2441,786,1571,3141,2186,276
555,1109,2217,338,675,1349,2697,1298,2595,1094,2187,278
559,1117,2233,370,739,1477,2953,1810,3619,3142,2188,280
563,1125,2249,402,803,1605,3209,2322,548,1095,2189,282
567,1133,2265,434,867,1733,3465,2834,1572,3143,2190,284
571,1141,2281,466,931,1861,3721,3346,2596,1096,2191,286
575,1149,2297,498,995,1989,3977,3858,3620,3144,2192,288
583,1165,2329,562,1123,2245,394,787,1573,3145,2194,292
587,1173,2345,594,1187,2373,650,1299,2597,1098,2195,294
591,1181,2361,626,1251,2501,906,1811,3621,3146,2196,296
595,1189,2377,658,1315,2629,1162,2323,550,1099,2197,298
599,1197,2393,690,1379,2757,1418,2835,1574,3147,2198,300
603,1205,2409,722,1443,2885,1674,3347,2598,1100,2199,302
607,1213,2425,754,1507,3013,1930,3859,3622,3148,2200,304
615,1229,2457,818,1635,3269,2442,788,1575,3149,2202,308
619,1237,2473,850,1699,3397,2698,1300,2599,1102,2203,310
623,1245,2489,882,1763,3525,2954,1812,3623,3150,2204,312
627,1253,2505,914,1827,3653,3210,2324,552,1103,2205,314
631,1261,2521,946,1891,3781,3466,2836,1576,3151,2206,316
635,1269,2537,978,1955,3909,3722,3348,2600,1104,2207,318
