1
3,5,9,17,33,65,129,257,513,2
7,13,25,49,97,193,385,769,514,4
11,21,41,81,161,321,641,258,515,6
15,29,57,113,225,449,897,770,516,8
19,37,73,145,289,577,130,259,517,10
23,45,89,177,353,705,386,771,518,12
27,53,105,209,417,833,642,260,519,14
31,61,121,241,481,961,898,772,520,16
35,69,137,273,545,66,131,261,521,18
39,77,153,305,609,194,387,773,522,20
43,85,169,337,673,322,643,262,523,22
47,93,185,369,737,450,899,774,524,24
51,101,201,401,801,578,132,263,525,26
55,109,217,433,865,706,388,775,526,28
59,117,233,465,929,834,644,264,527,30
63,125,249,497,993,962,900,776,528,32
67,133,265,529,34
71,141,281,561,98,195,389,777,530,36
75,149,297,593,162,323,645,266,531,38
79,157,313,625,226,451,901,778,532,40
83,165,329,657,290,579,134,267,533,42
87,173,345,689,354,707,390,779,534,44
91,181,361,721,418,835,646,268,535,46
95,189,377,753,482,963,902,780,536,48
99,197,393,785,546,68,135,269,537,50
103,205,409,817,610,196,391,781,538,52
107,213,425,849,674,324,647,270,539,54
111,221,441,881,738,452,903,782,540,56
115,229,457,913,802,580,136,271,541,58
119,237,473,945,866,708,392,783,542,60
123,245,489,977,930,836,648,272,543,62
127,253,505,1009,994,964,904,784,544,64
139,277,553,82,163,325,649,274,547,70
143,285,569,114,227,453,905,786,548,72
147,293,585,146,291,581,138,275,549,74
151,301,601,178,355,709,394,787,550,76
155,309,617,210,419,837,650,276,551,78
159,317,633,242,483,965,906,788,552,80
167,333,665,306,611,198,395,789,554,84
171,341,681,338,675,326,651,278,555,86
175,349,697,370,739,454,907,790,556,88
179,357,713,402,803,582,140,279,557,90
183,365,729,434,867,710,396,791,558,92
187,373,745,466,931,838,652,280,559,94
191,381,761,498,995,966,908,792,560,96
199,397,793,562,100
203,405,809,594,164,327,653,282,563,102
207,413,825,626,228,455,909,794,564,104
211,421,841,658,292,583,142,283,565,106
215,429,857,690,356,711,398,795,566,108
219,437,873,722,420,839,654,284,567,110
223,445,889,754,484,967,910,796,568,112
231,461,921,818,612,200,399,797,570,116
235,469,937,850,676,328,655,286,571,118
239,477,953,882,740,456,911,798,572,120
243,485,969,914,804,584,144,287,573,122
247,493,985,946,868,712,400,799,574,124
251,501,1001,978,932,840,656,288,575,126
255,509,1017,1010,996,968,912,800,576,128
295,589,154,307,613,202,403,805,586,148
299,597,170,339,677,330,659,294,587,150
303,605,186,371,741,458,915,806,588,152
311,621,218,435,869,714,404,807,590,156
315,629,234,467,933,842,660,296,591,158
319,637,250,499,997,970,916,808,592,160
331,661,298,595,166
335,669,314,627,230,459,917,810,596,168
343,685,346,691,358,715,406,811,598,172
347,693,362,723,422,843,662,300,599,174
351,701,378,755,486,971,918,812,600,176
359,717,410,819,614,204,407,813,602,180
363,725,426,851,678,332,663,302,603,182
367,733,442,883,742,460,919,814,604,184
375,749,474,947,870,716,408,815,606,188
379,757,490,979,934,844,664,304,607,190
383,765,506,1011,998,972,920,816,608,192
411,821,618,212,423,845,666,308,615,206
415,829,634,244,487,973,922,820,616,208
427,853,682,340,679,334,667,310,619,214
431,861,698,372,743,462,923,822,620,216
439,877,730,436,871,718,412,823,622,220
443,885,746,468,935,846,668,312,623,222
447,893,762,500,999,974,924,824,624,224
463,925,826,628,232
471,941,858,692,360,719,414,827,630,236
475,949,874,724,424,847,670,316,631,238
479,957,890,756,488,975,926,828,632,240
491,981,938,852,680,336,671,318,635,246
495,989,954,884,744,464,927,830,636,248
503,1005,986,948,872,720,416,831,638,252
507,1013,1002,980,936,848,672,320,639,254
511,1021,1018,1012,1000,976,928,832,640,256
683,342
687,350,699,374,747,470,939,854,684,344
695,366,731,438,875,726,428,855,686,348
703,382,763,502,1003,982,940,856,688,352
727,430,859,694,364
735,446,891,758,492,983,942,860,696,368
751,478,955,886,748,472,943,862,700,376
759,494,987,950,876,728,432,863,702,380
767,510,1019,1014,1004,984,944,864,704,384
879,734,444,887,750,476,951,878,732,440
895,766,508,1015,1006,988,952,880,736,448
959,894,764,504,1007,990,956,888,752,480
991,958,892,760,496
1023,1022,1020,1016,1008,992,960,896,768,512
1024
