1
3,5,9,17,33,65,129,257,513,1025,2049,4097,8193,16385,2
7,13,25,49,97,193,385,769,1537,3073,6145,12289,24577,16386,4
11,21,41,81,161,321,641,1281,2561,5121,10241,20481,8194,16387,6
15,29,57,113,225,449,897,1793,3585,7169,14337,28673,24578,16388,8
19,37,73,145,289,577,1153,2305,4609,9217,18433,4098,8195,16389,10
23,45,89,177,353,705,1409,2817,5633,11265,22529,12290,24579,16390,12
27,53,105,209,417,833,1665,3329,6657,13313,26625,20482,8196,16391,14
31,61,121,241,481,961,1921,3841,7681,15361,30721,28674,24580,16392,16
35,69,137,273,545,1089,2177,4353,8705,17409,2050,4099,8197,16393,18
39,77,153,305,609,1217,2433,4865,9729,19457,6146,12291,24581,16394,20
43,85,169,337,673,1345,2689,5377,10753,21505,10242,20483,8198,16395,22
47,93,185,369,737,1473,2945,5889,11777,23553,14338,28675,24582,16396,24
51,101,201,401,801,1601,3201,6401,12801,25601,18434,4100,8199,16397,26
55,109,217,433,865,1729,3457,6913,13825,27649,22530,12292,24583,16398,28
59,117,233,465,929,1857,3713,7425,14849,29697,26626,20484,8200,16399,30
63,125,249,497,993,1985,3969,7937,15873,31745,30722,28676,24584,16400,32
67,133,265,529,1057,2113,4225,8449,16897,1026,2051,4101,8201,16401,34
71,141,281,561,1121,2241,4481,8961,17921,3074,6147,12293,24585,16402,36
75,149,297,593,1185,2369,4737,9473,18945,5122,10243,20485,8202,16403,38
79,157,313,625,1249,2497,4993,9985,19969,7170,14339,28677,24586,16404,40
83,165,329,657,1313,2625,5249,10497,20993,9218,18435,4102,8203,16405,42
87,173,345,689,1377,2753,5505,11009,22017,11266,22531,12294,24587,16406,44
91,181,361,721,1441,2881,5761,11521,23041,13314,26627,20486,8204,16407,46
95,189,377,753,1505,3009,6017,12033,24065,15362,30723,28678,24588,16408,48
99,197,393,785,1569,3137,6273,12545,25089,17410,2052,4103,8205,16409,50
103,205,409,817,1633,3265,6529,13057,26113,19458,6148,12295,24589,16410,52
107,213,425,849,1697,3393,6785,13569,27137,21506,10244,20487,8206,16411,54
111,221,441,881,1761,3521,7041,14081,28161,23554,14340,28679,24590,16412,56
115,229,457,913,1825,3649,7297,14593,29185,25602,18436,4104,8207,16413,58
119,237,473,945,1889,3777,7553,15105,30209,27650,22532,12296,24591,16414,60
123,245,489,977,1953,3905,7809,15617,31233,29698,26628,20488,8208,16415,62
127,253,505,1009,2017,4033,8065,16129,32257,31746,30724,28680,24592,16416,64
131,261,521,1041,2081,4161,8321,16641,514,1027,2053,4105,8209,16417,66
135,269,537,1073,2145,4289,8577,17153,1538,3075,6149,12297,24593,16418,68
139,277,553,1105,2209,4417,8833,17665,2562,5123,10245,20489,8210,16419,70
143,285,569,1137,2273,4545,9089,18177,3586,7171,14341,28681,24594,16420,72
147,293,585,1169,2337,4673,9345,18689,4610,9219,18437,4106,8211,16421,74
151,301,601,1201,2401,4801,9601,19201,5634,11267,22533,12298,24595,16422,76
155,309,617,1233,2465,4929,9857,19713,6658,13315,26629,20490,8212,16423,78
159,317,633,1265,2529,5057,10113,20225,7682,15363,30725,28682,24596,16424,80
163,325,649,1297,2593,5185,10369,20737,8706,17411,2054,4107,8213,16425,82
167,333,665,1329,2657,5313,10625,21249,9730,19459,6150,12299,24597,16426,84
171,341,681,1361,2721,5441,10881,21761,10754,21507,10246,20491,8214,16427,86
175,349,697,1393,2785,5569,11137,22273,11778,23555,14342,28683,24598,16428,88
179,357,713,1425,2849,5697,11393,22785,12802,25603,18438,4108,8215,16429,90
183,365,729,1457,2913,5825,11649,23297,13826,27651,22534,12300,24599,16430,92
187,373,745,1489,2977,5953,11905,23809,14850,29699,26630,20492,8216,16431,94
191,381,761,1521,3041,6081,12161,24321,15874,31747,30726,28684,24600,16432,96
195,389,777,1553,3105,6209,12417,24833,16898,1028,2055,4109,8217,16433,98
199,397,793,1585,3169,6337,12673,25345,17922,3076,6151,12301,24601,16434,100
203,405,809,1617,3233,6465,12929,25857,18946,5124,10247,20493,8218,16435,102
207,413,825,1649,3297,6593,13185,26369,19970,7172,14343,28685,24602,16436,104
211,421,841,1681,3361,6721,13441,26881,20994,9220,18439,4110,8219,16437,106
215,429,857,1713,3425,6849,13697,27393,22018,11268,22535,12302,24603,16438,108
219,437,873,1745,3489,6977,13953,27905,23042,13316,26631,20494,8220,16439,110
223,445,889,1777,3553,7105,14209,28417,24066,15364,30727,28686,24604,16440,112
227,453,905,1809,3617,7233,14465,28929,25090,17412,2056,4111,8221,16441,114
231,461,921,1841,3681,7361,14721,29441,26114,19460,6152,12303,24605,16442,116
235,469,937,1873,3745,7489,14977,29953,27138,21508,10248,20495,8222,16443,118
239,477,953,1905,3809,7617,15233,30465,28162,23556,14344,28687,24606,16444,120
243,485,969,1937,3873,7745,15489,30977,29186,25604,18440,4112,8223,16445,122
247,493,985,1969,3937,7873,15745,31489,30210,27652,22536,12304,24607,16446,124
251,501,1001,2001,4001,8001,16001,32001,31234,29700,26632,20496,8224,16447,126
255,509,1017,2033,4065,8129,16257,32513,32258,31748,30728,28688,24608,16448,128
259,517,1033,2065,4129,8257,16513,258,515,1029,2057,4113,8225,16449,130
263,525,1049,2097,4193,8385,16769,770,1539,3077,6153,12305,24609,16450,132
267,533,1065,2129,4257,8513,17025,1282,2563,5125,10249,20497,8226,16451,134
271,541,1081,2161,4321,8641,17281,1794,3587,7173,14345,28689,24610,16452,136
275,549,1097,2193,4385,8769,17537,2306,4611,9221,18441,4114,8227,16453,138
279,557,1113,2225,4449,8897,17793,2818,5635,11269,22537,12306,24611,16454,140
283,565,1129,2257,4513,9025,18049,3330,6659,13317,26633,20498,8228,16455,142
287,573,1145,2289,4577,9153,18305,3842,7683,15365,30729,28690,24612,16456,144
291,581,1161,2321,4641,9281,18561,4354,8707,17413,2058,4115,8229,16457,146
295,589,1177,2353,4705,9409,18817,4866,9731,19461,6154,12307,24613,16458,148
299,597,1193,2385,4769,9537,19073,5378,10755,21509,10250,20499,8230,16459,150
303,605,1209,2417,4833,9665,19329,5890,11779,23557,14346,28691,24614,16460,152
307,613,1225,2449,4897,9793,19585,6402,12803,25605,18442,4116,8231,16461,154
311,621,1241,2481,4961,9921,19841,6914,13827,27653,22538,12308,24615,16462,156
315,629,1257,2513,5025,10049,20097,7426,14851,29701,26634,20500,8232,16463,158
319,637,1273,2545,5089,10177,20353,7938,15875,31749,30730,28692,24616,16464,160
323,645,1289,2577,5153,10305,20609,8450,16899,1030,2059,4117,8233,16465,162
327,653,1305,2609,5217,10433,20865,8962,17923,3078,6155,12309,24617,16466,164
331,661,1321,2641,5281,10561,21121,9474,18947,5126,10251,20501,8234,16467,166
335,669,1337,2673,5345,10689,21377,9986,19971,7174,14347,28693,24618,16468,168
339,677,1353,2705,5409,10817,21633,10498,20995,9222,18443,4118,8235,16469,170
343,685,1369,2737,5473,10945,21889,11010,22019,11270,22539,12310,24619,16470,172
347,693,1385,2769,5537,11073,22145,11522,23043,13318,26635,20502,8236,16471,174
351,701,1401,2801,5601,11201,22401,12034,24067,15366,30731,28694,24620,16472,176
355,709,1417,2833,5665,11329,22657,12546,25091,17414,2060,4119,8237,16473,178
359,717,1433,2865,5729,11457,22913,13058,26115,19462,6156,12311,24621,16474,180
363,725,1449,2897,5793,11585,23169,13570,27139,21510,10252,20503,8238,16475,182
367,733,1465,2929,5857,11713,23425,14082,28163,23558,14348,28695,24622,16476,184
371,741,1481,2961,5921,11841,23681,14594,29187,25606,18444,4120,8239,16477,186
375,749,1497,2993,5985,11969,23937,15106,30211,27654,22540,12312,24623,16478,188
379,757,1513,3025,6049,12097,24193,15618,31235,29702,26636,20504,8240,16479,190
383,765,1529,3057,6113,12225,24449,16130,32259,31750,30732,28696,24624,16480,192
