1
3,5,9,17,33,65,129,257,513,1025,2049,4097,8193,16385,32769,65537,131073,2
7,13,25,49,97,193,385,769,1537,3073,6145,12289,24577,49153,98305,196609,131074,4
11,21,41,81,161,321,641,1281,2561,5121,10241,20481,40961,81921,163841,65538,131075,6
15,29,57,113,225,449,897,1793,3585,7169,14337,28673,57345,114689,229377,196610,131076,8
19,37,73,145,289,577,1153,2305,4609,9217,18433,36865,73729,147457,32770,65539,131077,10
23,45,89,177,353,705,1409,2817,5633,11265,22529,45057,90113,180225,98306,196611,131078,12
27,53,105,209,417,833,1665,3329,6657,13313,26625,53249,106497,212993,163842,65540,131079,14
31,61,121,241,481,961,1921,3841,7681,15361,30721,61441,122881,245761,229378,196612,131080,16
35,69,137,273,545,1089,2177,4353,8705,17409,34817,69633,139265,16386,32771,65541,131081,18
39,77,153,305,609,1217,2433,4865,9729,19457,38913,77825,155649,49154,98307,196613,131082,20
43,85,169,337,673,1345,2689,5377,10753,21505,43009,86017,172033,81922,163843,65542,131083,22
47,93,185,369,737,1473,2945,5889,11777,23553,47105,94209,188417,114690,229379,196614,131084,24
51,101,201,401,801,1601,3201,6401,12801,25601,51201,102401,204801,147458,32772,65543,131085,26
55,109,217,433,865,1729,3457,6913,13825,27649,55297,110593,221185,180226,98308,196615,131086,28
59,117,233,465,929,1857,3713,7425,14849,29697,59393,118785,237569,212994,163844,65544,131087,30
63,125,249,497,993,1985,3969,7937,15873,31745,63489,126977,253953,245762,229380,196616,131088,32
67,133,265,529,1057,2113,4225,8449,16897,33793,67585,135169,8194,16387,32773,65545,131089,34
71,141,281,561,1121,2241,4481,8961,17921,35841,71681,143361,24578,49155,98309,196617,131090,36
75,149,297,593,1185,2369,4737,9473,18945,37889,75777,151553,40962,81923,163845,65546,131091,38
79,157,313,625,1249,2497,4993,9985,19969,39937,79873,159745,57346,114691,229381,196618,131092,40
83,165,329,657,1313,2625,5249,10497,20993,41985,83969,167937,73730,147459,32774,65547,131093,42
87,173,345,689,1377,2753,5505,11009,22017,44033,88065,176129,90114,180227,98310,196619,131094,44
91,181,361,721,1441,2881,5761,11521,23041,46081,92161,184321,106498,212995,163846,65548,131095,46
95,189,377,753,1505,3009,6017,12033,24065,48129,96257,192513,122882,245763,229382,196620,131096,48
99,197,393,785,1569,3137,6273,12545,25089,50177,100353,200705,139266,16388,32775,65549,131097,50
103,205,409,817,1633,3265,6529,13057,26113,52225,104449,208897,155650,49156,98311,196621,131098,52
107,213,425,849,1697,3393,6785,13569,27137,54273,108545,217089,172034,81924,163847,65550,131099,54
111,221,441,881,1761,3521,7041,14081,28161,56321,112641,225281,188418,114692,229383,196622,131100,56
115,229,457,913,1825,3649,7297,14593,29185,58369,116737,233473,204802,147460,32776,65551,131101,58
119,237,473,945,1889,3777,7553,15105,30209,60417,120833,241665,221186,180228,98312,196623,131102,60
123,245,489,977,1953,3905,7809,15617,31233,62465,124929,249857,237570,212996,163848,65552,131103,62
127,253,505,1009,2017,4033,8065,16129,32257,64513,129025,258049,253954,245764,229384,196624,131104,64
131,261,521,1041,2081,4161,8321,16641,33281,66561,133121,4098,8195,16389,32777,65553,131105,66
135,269,537,1073,2145,4289,8577,17153,34305,68609,137217,12290,24579,49157,98313,196625,131106,68
139,277,553,1105,2209,4417,8833,17665,35329,70657,141313,20482,40963,81925,163849,65554,131107,70
143,285,569,1137,2273,4545,9089,18177,36353,72705,145409,28674,57347,114693,229385,196626,131108,72
147,293,585,1169,2337,4673,9345,18689,37377,74753,149505,36866,73731,147461,32778,65555,131109,74
151,301,601,1201,2401,4801,9601,19201,38401,76801,153601,45058,90115,180229,98314,196627,131110,76
155,309,617,1233,2465,4929,9857,19713,39425,78849,157697,53250,106499,212997,163850,65556,131111,78
159,317,633,1265,2529,5057,10113,20225,40449,80897,161793,61442,122883,245765,229386,196628,131112,80
163,325,649,1297,2593,5185,10369,20737,41473,82945,165889,69634,139267,16390,32779,65557,131113,82
167,333,665,1329,2657,5313,10625,21249,42497,84993,169985,77826,155651,49158,98315,196629,131114,84
171,341,681,1361,2721,5441,10881,21761,43521,87041,174081,86018,172035,81926,163851,65558,131115,86
175,349,697,1393,2785,5569,11137,22273,44545,89089,178177,94210,188419,114694,229387,196630,131116,88
179,357,713,1425,2849,5697,11393,22785,45569,91137,182273,102402,204803,147462,32780,65559,131117,90
183,365,729,1457,2913,5825,11649,23297,46593,93185,186369,110594,221187,180230,98316,196631,131118,92
187,373,745,1489,2977,5953,11905,23809,47617,95233,190465,118786,237571,212998,163852,65560,131119,94
191,381,761,1521,3041,6081,12161,24321,48641,97281,194561,126978,253955,245766,229388,196632,131120,96
195,389,777,1553,3105,6209,12417,24833,49665,99329,198657,135170,8196,16391,32781,65561,131121,98
199,397,793,1585,3169,6337,12673,25345,50689,101377,202753,143362,24580,49159,98317,196633,131122,100
203,405,809,1617,3233,6465,12929,25857,51713,103425,206849,151554,40964,81927,163853,65562,131123,102
207,413,825,1649,3297,6593,13185,26369,52737,105473,210945,159746,57348,114695,229389,196634,131124,104
211,421,841,1681,3361,6721,13441,26881,53761,107521,215041,167938,73732,147463,32782,65563,131125,106
215,429,857,1713,3425,6849,13697,27393,54785,109569,219137,176130,90116,180231,98318,196635,131126,108
219,437,873,1745,3489,6977,13953,27905,55809,111617,223233,184322,106500,212999,163854,65564,131127,110
223,445,889,1777,3553,7105,14209,28417,56833,113665,227329,192514,122884,245767,229390,196636,131128,112
227,453,905,1809,3617,7233,14465,28929,57857,115713,231425,200706,139268,16392,32783,65565,131129,114
231,461,921,1841,3681,7361,14721,29441,58881,117761,235521,208898,155652,49160,98319,196637,131130,116
