1
3,5,9,17,33,65,129,257,513,1025,2049,4097,8193,16385,32769,2
7,13,25,49,97,193,385,769,1537,3073,6145,12289,24577,49153,32770,4
11,21,41,81,161,321,641,1281,2561,5121,10241,20481,40961,16386,32771,6
15,29,57,113,225,449,897,1793,3585,7169,14337,28673,57345,49154,32772,8
19,37,73,145,289,577,1153,2305,4609,9217,18433,36865,8194,16387,32773,10
23,45,89,177,353,705,1409,2817,5633,11265,22529,45057,24578,49155,32774,12
27,53,105,209,417,833,1665,3329,6657,13313,26625,53249,40962,16388,32775,14
31,61,121,241,481,961,1921,3841,7681,15361,30721,61441,57346,49156,32776,16
35,69,137,273,545,1089,2177,4353,8705,17409,34817,4098,8195,16389,32777,18
39,77,153,305,609,1217,2433,4865,9729,19457,38913,12290,24579,49157,32778,20
43,85,169,337,673,1345,2689,5377,10753,21505,43009,20482,40963,16390,32779,22
47,93,185,369,737,1473,2945,5889,11777,23553,47105,28674,57347,49158,32780,24
51,101,201,401,801,1601,3201,6401,12801,25601,51201,36866,8196,16391,32781,26
55,109,217,433,865,1729,3457,6913,13825,27649,55297,45058,24580,49159,32782,28
59,117,233,465,929,1857,3713,7425,14849,29697,59393,53250,40964,16392,32783,30
63,125,249,497,993,1985,3969,7937,15873,31745,63489,61442,57348,49160,32784,32
67,133,265,529,1057,2113,4225,8449,16897,33793,2050,4099,8197,16393,32785,34
71,141,281,561,1121,2241,4481,8961,17921,35841,6146,12291,24581,49161,32786,36
75,149,297,593,1185,2369,4737,9473,18945,37889,10242,20483,40965,16394,32787,38
79,157,313,625,1249,2497,4993,9985,19969,39937,14338,28675,57349,49162,32788,40
83,165,329,657,1313,2625,5249,10497,20993,41985,18434,36867,8198,16395,32789,42
87,173,345,689,1377,2753,5505,11009,22017,44033,22530,45059,24582,49163,32790,44
91,181,361,721,1441,2881,5761,11521,23041,46081,26626,53251,40966,16396,32791,46
95,189,377,753,1505,3009,6017,12033,24065,48129,30722,61443,57350,49164,32792,48
99,197,393,785,1569,3137,6273,12545,25089,50177,34818,4100,8199,16397,32793,50
103,205,409,817,1633,3265,6529,13057,26113,52225,38914,12292,24583,49165,32794,52
107,213,425,849,1697,3393,6785,13569,27137,54273,43010,20484,40967,16398,32795,54
111,221,441,881,1761,3521,7041,14081,28161,56321,47106,28676,57351,49166,32796,56
115,229,457,913,1825,3649,7297,14593,29185,58369,51202,36868,8200,16399,32797,58
119,237,473,945,1889,3777,7553,15105,30209,60417,55298,45060,24584,49167,32798,60
123,245,489,977,1953,3905,7809,15617,31233,62465,59394,53252,40968,16400,32799,62
